"m49cd","ISO3","Area","UN Region","EBRD Region"
"'012","DZA","Algeria","Northern Africa",NA
"'818","EGY","Egypt","Northern Africa","Southern and eastern Mediterranean"
"'434","LBY","Libya","Northern Africa",NA
"'504","MAR","Morocco","Northern Africa","Southern and eastern Mediterranean"
"'729","SDN","Sudan","Northern Africa",NA
"'788","TUN","Tunisia","Northern Africa","Southern and eastern Mediterranean"
"'732","ESH","Western Sahara","Northern Africa",NA
"'086","IOT","British Indian Ocean Territory","Eastern Africa",NA
"'108","BDI","Burundi","Eastern Africa",NA
"'174","COM","Comoros","Eastern Africa",NA
"'262","DJI","Djibouti","Eastern Africa",NA
"'232","ERI","Eritrea","Eastern Africa",NA
"'231","ETH","Ethiopia","Eastern Africa",NA
"'260","ATF","French Southern Territories","Eastern Africa",NA
"'404","KEN","Kenya","Eastern Africa","Sub-Saharan Africa"
"'450","MDG","Madagascar","Eastern Africa",NA
"'454","MWI","Malawi","Eastern Africa",NA
"'480","MUS","Mauritius","Eastern Africa",NA
"'175","MYT","Mayotte","Eastern Africa",NA
"'508","MOZ","Mozambique","Eastern Africa",NA
"'638","REU","Réunion","Eastern Africa",NA
"'646","RWA","Rwanda","Eastern Africa",NA
"'690","SYC","Seychelles","Eastern Africa",NA
"'706","SOM","Somalia","Eastern Africa",NA
"'728","SSD","South Sudan","Eastern Africa",NA
"'800","UGA","Uganda","Eastern Africa",NA
"'834","TZA","United Republic of Tanzania","Eastern Africa",NA
"'894","ZMB","Zambia","Eastern Africa",NA
"'716","ZWE","Zimbabwe","Eastern Africa",NA
"'024","AGO","Angola","Middle Africa",NA
"'120","CMR","Cameroon","Middle Africa",NA
"'140","CAF","Central African Republic","Middle Africa",NA
"'148","TCD","Chad","Middle Africa",NA
"'178","COG","Congo","Middle Africa",NA
"'180","COD","Democratic Republic of the Congo","Middle Africa",NA
"'226","GNQ","Equatorial Guinea","Middle Africa",NA
"'266","GAB","Gabon","Middle Africa",NA
"'678","STP","Sao Tome and Principe","Middle Africa",NA
"'072","BWA","Botswana","Southern Africa",NA
"'748","SWZ","Eswatini","Southern Africa",NA
"'426","LSO","Lesotho","Southern Africa",NA
"'516","NAM","Namibia","Southern Africa",NA
"'710","ZAF","South Africa","Southern Africa",NA
"'204","BEN","Benin","Western Africa","Sub-Saharan Africa"
"'854","BFA","Burkina Faso","Western Africa",NA
"'132","CPV","Cabo Verde","Western Africa",NA
"'384","CIV","Côte d’Ivoire","Western Africa","Sub-Saharan Africa"
"'270","GMB","Gambia","Western Africa",NA
"'288","GHA","Ghana","Western Africa","Sub-Saharan Africa"
"'324","GIN","Guinea","Western Africa",NA
"'624","GNB","Guinea-Bissau","Western Africa",NA
"'430","LBR","Liberia","Western Africa",NA
"'466","MLI","Mali","Western Africa",NA
"'478","MRT","Mauritania","Western Africa",NA
"'562","NER","Niger","Western Africa",NA
"'566","NGA","Nigeria","Western Africa","Sub-Saharan Africa"
"'654","SHN","Saint Helena","Western Africa",NA
"'686","SEN","Senegal","Western Africa","Sub-Saharan Africa"
"'694","SLE","Sierra Leone","Western Africa",NA
"'768","TGO","Togo","Western Africa",NA
"'660","AIA","Anguilla","Caribbean",NA
"'028","ATG","Antigua and Barbuda","Caribbean",NA
"'533","ABW","Aruba","Caribbean",NA
"'044","BHS","Bahamas","Caribbean",NA
"'052","BRB","Barbados","Caribbean",NA
"'535","BES","Bonaire, Sint Eustatius and Saba","Caribbean",NA
"'092","VGB","British Virgin Islands","Caribbean",NA
"'136","CYM","Cayman Islands","Caribbean",NA
"'192","CUB","Cuba","Caribbean",NA
"'531","CUW","Curaçao","Caribbean",NA
"'212","DMA","Dominica","Caribbean",NA
"'214","DOM","Dominican Republic","Caribbean",NA
"'308","GRD","Grenada","Caribbean",NA
"'312","GLP","Guadeloupe","Caribbean",NA
"'332","HTI","Haiti","Caribbean",NA
"'388","JAM","Jamaica","Caribbean",NA
"'474","MTQ","Martinique","Caribbean",NA
"'500","MSR","Montserrat","Caribbean",NA
"'630","PRI","Puerto Rico","Caribbean",NA
"'652","BLM","Saint Barthélemy","Caribbean",NA
"'659","KNA","Saint Kitts and Nevis","Caribbean",NA
"'662","LCA","Saint Lucia","Caribbean",NA
"'663","MAF","Saint Martin (French Part)","Caribbean",NA
"'670","VCT","Saint Vincent and the Grenadines","Caribbean",NA
"'534","SXM","Sint Maarten (Dutch part)","Caribbean",NA
"'780","TTO","Trinidad and Tobago","Caribbean",NA
"'796","TCA","Turks and Caicos Islands","Caribbean",NA
"'850","VIR","United States Virgin Islands","Caribbean",NA
"'084","BLZ","Belize","Central America",NA
"'188","CRI","Costa Rica","Central America",NA
"'222","SLV","El Salvador","Central America",NA
"'320","GTM","Guatemala","Central America",NA
"'340","HND","Honduras","Central America",NA
"'484","MEX","Mexico","Central America",NA
"'558","NIC","Nicaragua","Central America",NA
"'591","PAN","Panama","Central America",NA
"'032","ARG","Argentina","South America",NA
"'068","BOL","Bolivia (Plurinational State of)","South America",NA
"'074","BVT","Bouvet Island","South America",NA
"'076","BRA","Brazil","South America",NA
"'152","CHL","Chile","South America",NA
"'170","COL","Colombia","South America",NA
"'218","ECU","Ecuador","South America",NA
"'238","FLK","Falkland Islands (Malvinas)","South America",NA
"'254","GUF","French Guiana","South America",NA
"'328","GUY","Guyana","South America",NA
"'600","PRY","Paraguay","South America",NA
