"de_recipientcode","recipient_name","flow_name","year","usd_disbursement","usd_disbursement_defl"
"ABW","Aruba","ODA Grants",1992,0,0
"ABW","Aruba","ODA Grants",1993,0,0
"ABW","Aruba","ODA Grants",1994,0,0
"ABW","Aruba","ODA Grants",1995,7.56273,10.554719
"ABW","Aruba","ODA Grants",1996,0.189135,0.266766
"ABW","Aruba","ODA Grants",1997,1.431323,2.229148
"ABW","Aruba","ODA Grants",1998,18.60122,31.489247000000002
"ABW","Aruba","ODA Grants",1999,0.311017,0.50239
"AFG","Afghanistan","Equity Investment",2005,5.244978,6.387853
"AFG","Afghanistan","Equity Investment",2006,0.37659,0.467517
"AFG","Afghanistan","Equity Investment",2007,0.299051,0.280408
"AFG","Afghanistan","Equity Investment",2008,0.782081,0.806237
"AFG","Afghanistan","Equity Investment",2009,0.119478,0.12326999999999999
"AFG","Afghanistan","Equity Investment",2010,0.520783,0.580335
"AFG","Afghanistan","Equity Investment",2011,1.699128,1.781757
"AFG","Afghanistan","Equity Investment",2012,3.2840680000000004,3.6724879999999995
"AFG","Afghanistan","ODA Grants",1992,15.68413,17.962879
"AFG","Afghanistan","ODA Grants",1993,9.378599,13.53349
"AFG","Afghanistan","ODA Grants",1994,5.966219,8.710768
"AFG","Afghanistan","ODA Grants",1995,5.716201,7.335732
"AFG","Afghanistan","ODA Grants",1996,12.507950000000001,16.004567
"AFG","Afghanistan","ODA Grants",1997,15.210237000000001,20.732556
"AFG","Afghanistan","ODA Grants",1998,49.096844000000004,75.590473
"AFG","Afghanistan","ODA Grants",1999,18.987217,27.209031
"AFG","Afghanistan","ODA Grants",2000,29.790252,49.282317
"AFG","Afghanistan","ODA Grants",2001,221.648649,402.640847
"AFG","Afghanistan","ODA Grants",2002,932.285131,1526.635235
"AFG","Afghanistan","ODA Grants",2003,1225.783025,1747.372191
"AFG","Afghanistan","ODA Grants",2004,1646.21726,2228.132136
"AFG","Afghanistan","ODA Grants",2005,2574.275596,3478.272804
"AFG","Afghanistan","ODA Grants",2006,2687.191121,3509.633476
"AFG","Afghanistan","ODA Grants",2007,3579.714728,4319.35119
"AFG","Afghanistan","ODA Grants",2008,4485.600189,5295.649955
"AFG","Afghanistan","ODA Grants",2009,5423.914904,6597.458547
"AFG","Afghanistan","ODA Grants",2010,6334.1552,7359.106973999999
"AFG","Afghanistan","ODA Grants",2011,6628.328434,7344.308721
"AFG","Afghanistan","ODA Grants",2012,6424.9940560000005,7021.597085
"AFG","Afghanistan","ODA Grants",2013,5037.556585,5373.509437
"AFG","Afghanistan","ODA Grants",2014,4931.034127,5373.496913
"AFG","Afghanistan","ODA Grants",2015,4321.597743,5029.76906
"AFG","Afghanistan","ODA Grants",2016,4155.553853,4854.09101
"AFG","Afghanistan","ODA Grants",2017,3844.809858,4417.707801
"AFG","Afghanistan","ODA Grants",2018,3834.151542,4220.915597
"AFG","Afghanistan","ODA Grants",2019,4261.554504,4823.494279
"AFG","Afghanistan","ODA Grants",2020,3913.932492,4298.930521
"AFG","Afghanistan","ODA Grants",2021,4574.435213,4733.946792
"AFG","Afghanistan","ODA Grants",2022,3997.956562,4178.761993
"AFG","Afghanistan","ODA Grants",2023,3150.879868,3150.879868
"AFG","Afghanistan","ODA Loans",1992,0,0
"AFG","Afghanistan","ODA Loans",1993,0,0
"AFG","Afghanistan","ODA Loans",1994,0,0
"AFG","Afghanistan","ODA Loans",1995,0,0
"AFG","Afghanistan","ODA Loans",1996,0,0
"AFG","Afghanistan","ODA Loans",1997,0,0
"AFG","Afghanistan","ODA Loans",1998,0,0
"AFG","Afghanistan","ODA Loans",1999,0,0
"AFG","Afghanistan","ODA Loans",2000,0,0
"AFG","Afghanistan","ODA Loans",2001,0,0
"AFG","Afghanistan","ODA Loans",2002,0,0
"AFG","Afghanistan","ODA Loans",2003,34.956594,47.972355
"AFG","Afghanistan","ODA Loans",2004,135.205357,171.777635
"AFG","Afghanistan","ODA Loans",2005,89.42810899999999,110.110027
"AFG","Afghanistan","ODA Loans",2006,46.167665,54.65636
"AFG","Afghanistan","ODA Loans",2007,128.539619,151.531643
"AFG","Afghanistan","ODA Loans",2008,78.112559,83.320881
"AFG","Afghanistan","ODA Loans",2009,44.520241,49.111548
"AFG","Afghanistan","ODA Loans",2010,93.97871,102.602878
"AFG","Afghanistan","ODA Loans",2011,69.992507,72.109351
"AFG","Afghanistan","ODA Loans",2012,71.255122,75.16922
"AFG","Afghanistan","ODA Loans",2013,35.148669999999996,36.587092999999996
"AFG","Afghanistan","ODA Loans",2014,21.034703,21.895301
"AFG","Afghanistan","ODA Loans",2015,17.74336,20.439279
"AFG","Afghanistan","ODA Loans",2016,19.702919,22.88649
"AFG","Afghanistan","ODA Loans",2017,24.88616,28.364435
"AFG","Afghanistan","ODA Loans",2018,29.288464,32.038638999999996
"AFG","Afghanistan","ODA Loans",2019,122.14519399999999,135.331978
"AFG","Afghanistan","ODA Loans",2020,350.65567000000004,378.468736
"AFG","Afghanistan","ODA Loans",2021,147.6245,150.184845
"AFG","Afghanistan","ODA Loans",2022,0,0
"AFG","Afghanistan","ODA Loans",2023,0,0
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2004,0,0
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2005,13.366,20.038971
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2006,9.362,13.616078
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2007,3.2096839999999998,4.545022
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2008,13.775411,15.603708
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2009,41.533104,53.094195
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2010,82.070516,106.549949
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2011,40.698803,46.575607999999995
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2012,52.102714,52.54069
