"ISO3","Name","index","rank","resilience","vulnerability","rankV","readiness","rankR"
"MYS","Malaysia",55.3656015742223,50,"Moderate",0.366926701483168,51,0.474238732967615,135
"MDV","Maldives",43.0242708433303,118,"Moderate",0.550394839290001,162,0.410880256156606,108
"MLI","Mali",34.8223052971323,169,"Low",0.575536510573169,172,0.271982616515816,40
"MLT","Malta",55.8793588292367,48,"Moderate",0.319719009677223,23,0.437306186261957,119
"MHL","Marshall Islands",40.5188258129719,132,"Moderate",0.58989667559945,177,0.400273191858888,104
"MRT","Mauritania",36.8619262763902,159,"Low",0.578337692788211,174,0.315576218316016,67
"MUS","Mauritius",55.5305502771785,49,"Moderate",0.411861399624017,89,0.522472405167586,150
"MEX","Mexico",45.7747798965237,100,"Moderate",0.386509692483505,74,0.302005290413978,57
"FSM","Micronesia, Federated States of",37.4388810027443,155,"Low",0.62118925547334,184,0.369966875528226,91
"MDA","Moldova, Republic of",50.7457321831852,75,"Moderate",0.393818145977452,76,0.408732789641156,107
"MCO","Monaco",NA,NA,NA,NA,NA,0.659336901622147,177
"MNG","Mongolia",52.0194594078075,66,"Moderate",0.365310365874975,48,0.405699554031125,106
"MNE","Montenegro",53.3076931273935,57,"Moderate",0.363229797256813,47,0.429383659804683,117
"MAR","Morocco",50.7162655070882,75,"Moderate",0.368260848468096,53,0.38258615860986,96
"MOZ","Mozambique",37.1872706579091,156,"Low",0.493088994998562,135,0.236834408156744,25
"MMR","Myanmar",36.1444848443208,163,"Low",0.514340557222612,145,0.237230254109028,25
"NAM","Namibia",44.6136976948072,107,"Moderate",0.454056125631941,117,0.346330079528085,85
"NRU","Nauru",52.5670051560377,62,"Moderate",0.509133496151699,141,0.560473599272453,160
"NPL","Nepal",41.9457148051739,126,"Moderate",0.490027728692084,134,0.328942024795561,76
"NLD","Netherlands",66.660290410511,17,"High",0.353879572190633,36,0.687085380400852,181
"NZL","New Zealand",70.0301002709315,7,"High",0.304262215654337,10,0.704864221072967,185
"NIC","Nicaragua",38.2800458319777,149,"Low",0.445563118016567,112,0.211164034656122,12
"NER","Niger",34.6342459971928,171,"Low",0.632980520703441,186,0.325665440647297,73
"NGA","Nigeria",37.0644657374059,157,"Low",0.481084976726398,126,0.222374291474516,20
"NOR","Norway",76.7894568307142,1,"High",0.2556147185431,2,0.791403855157385,190
"OMN","Oman",52.2522495989099,65,"Moderate",0.420216953920259,92,0.465261945898458,133
"PAK","Pakistan",37.8904252642538,152,"Low",0.515133465900456,146,0.272941971185532,43
"PLW","Palau",45.1430541187874,104,"Moderate",0.512616259244501,143,0.415477341620248,111
"PAN","Panama",45.6312565462666,101,"Moderate",0.406459590998431,84,0.319084721923763,68
"PNG","Papua New Guinea",35.2374451152111,167,"Low",0.5495701839912,162,0.254319086295422,33
"PRY","Paraguay",45.58655900571,101,"Moderate",0.372450628094713,58,0.284181808208913,47
"PER","Peru",46.1859688576508,95,"Moderate",0.409139536462229,86,0.332858913615245,79
"PHL","Philippines",43.3879284236552,116,"Moderate",0.443831296581348,109,0.311589865054452,65
"POL","Poland",60.46101220475,28,"High",0.305653132767215,13,0.514873376862215,146
"PRT","Portugal",61.4810648467884,27,"High",0.318490170755297,22,0.548111467691064,158
"QAT","Qatar",58.0395465982236,37,"High",0.351294466670451,34,0.512085398634922,145
"ROU","Romania",51.4451157086373,69,"Moderate",0.411779483689989,89,0.440681797862735,123
"RUS","Russian Federation",56.6367011245904,43,"High",0.32374114097316,26,0.456475163464968,129
"RWA","Rwanda",43.5684277423083,114,"Moderate",0.56727886777407,169,0.438647422620236,121
"KNA","Saint Kitts and Nevis",NA,NA,NA,NA,NA,0.521269363832328,149
"LCA","Saint Lucia",52.4998686612125,63,"Moderate",0.375102915547686,62,0.425100288771936,116
"VCT","Saint Vincent and the Grenadines",52.9978936928027,59,"Moderate",0.431453491155348,99,0.491411365011403,139
"WSM","Samoa",45.3718446033811,103,"Moderate",0.513291206755282,143,0.420728098822905,114
"SMR","San Marino",NA,NA,NA,NA,NA,0.633658222807568,172
"STP","Sao Tome and Principe",42.168170519868,123,"Moderate",0.541800996405374,160,0.385164406802734,98
"SAU","Saudi Arabia",57.8714050053348,41,"High",0.408246794806483,85,0.56567489491318,162
"SEN","Senegal",40.3798987559356,133,"Moderate",0.534856001387169,155,0.34245397650588,83
"SRB","Serbia",48.7748322860527,85,"Moderate",0.421516261713672,94,0.397012907434726,103
"SYC","Seychelles",53.7967665828509,55,"Moderate",0.444141275646427,109,0.520076607303446,148
"SLE","Sierra Leone",33.757651424687,175,"Low",0.597257262855005,179,0.272410291348746,40
"SGP","Singapore",70.7902244177902,6,"High",0.38869248799521,75,0.804496976351014,192
"SVK","Slovakia",55.168680768158,51,"Moderate",0.360217081616822,43,0.463590696979983,132
"SVN","Slovenia",62.8469629826294,23,"High",0.314325595066413,17,0.571264854719001,164
"SLB","Solomon Islands",36.7937575227852,160,"Low",0.629252695947271,185,0.365127846402975,90
"SOM","Somalia",35.7277822714654,164,"Low",0.610504400996975,181,0.325060046426284,72
"ZAF","South Africa",46.5975995010881,94,"Moderate",0.394647749939191,78,0.326599739960954,75
"ESP","Spain",60.0844271473413,30,"High",0.304735938404402,12,0.506424481351228,144
"LKA","Sri Lanka",43.9487495725759,110,"Moderate",0.474665403651957,125,0.353640395103475,88
"SDN","Sudan",30.1920674452417,184,"Low",0.611921181135229,182,0.215762530040063,16
"SUR","Suriname",44.3502229241708,108,"Moderate",0.403676138662994,80,0.290680597146411,51
"SWZ","Swaziland",40.8628774684955,129,"Moderate",0.447638388874438,113,0.264895938244348,37
"SWE","Sweden",71.0960124736966,5,"High",0.317048367502868,21,0.738968616976799,188
"CHE","Switzerland",72.893947633591,3,"High",0.251258452297331,1,0.709137404969152,187
"SYR","Syrian Arab Republic",35.7023623060071,164,"Low",0.486357761630186,130,0.200405007750328,10
"TJK","Tajikistan",45.8740461071871,98,"Moderate",0.356071512505237,38,0.273552434648978,44
"TZA","Tanzania, United Republic of",38.4334417148386,147,"Low",0.516026748253955,148,0.284695582550727,48
"THA","Thailand",49.8802686952908,80,"Moderate",0.434860553166205,103,0.432465927072022,118
"TLS","Timor-Leste",42.3103688053554,122,"Moderate",0.538067793664859,157,0.384275169771968,97
"TGO","Togo",41.1374717024631,127,"Moderate",0.50292389421847,139,0.325673328267731,73
"TON","Tonga",39.2734063333107,140,"Low",0.606592737452327,180,0.392060864118542,102
"TTO","Trinidad and Tobago",46.0487830887156,96,"Moderate",0.371248722441038,56,0.292224384215351,52
"TUN","Tunisia",51.2466094771647,70,"Moderate",0.379160533010825,67,0.40409272255412,105
"TUR","Turkey",53.9027914219218,53,"Moderate",0.374649346747413,62,0.452705175185848,128
"TKM","Turkmenistan",39.832157850758,138,"Moderate",0.371852432946571,58,0.168495589961732,4
"TUV","Tuvalu",49.8750544746363,80,"Moderate",0.576255343788702,172,0.573756433281429,165
"UGA","Uganda",34.4234695272471,172,"Low",0.535603099478039,156,0.224072490022981,21
"UKR","Ukraine",51.1622585932652,70,"Moderate",0.365102651375417,48,0.38834782324072,100
"ARE","United Arab Emirates",59.9463710254847,32,"High",0.382862724694561,71,0.581790145204255,166
"GBR","United Kingdom",69.8538746795106,8,"High",0.288055598949617,6,0.685133092539828,180
"USA","United States",66.4514142558905,18,"High",0.312019243435194,16,0.641047528553003,173
"URY","Uruguay",58.013830158151,37,"High",0.374668976606713,62,0.534945579769732,154
"UZB","Uzbekistan",51.1162212091724,73,"Moderate",0.358858275756943,41,0.381182699940392,95
"VUT","Vanuatu",38.4656560540738,146,"Low",0.563053414056388,168,0.332366535137863,78
"VEN","Venezuela, Bolivarian Republic o",39.0724489582987,142,"Low",0.373138028439569,61,0.154587007605544,3
"VNM","Viet Nam",46.0077361846247,96,"Moderate",0.467810375980305,122,0.387965099672799,100
"YEM","Yemen",34.237130570125,173,"Low",0.534145476899263,154,0.218888088301764,18
"ZMB","Zambia",40.5819427874149,130,"Moderate",0.484581650335907,128,0.296220506084204,55
"ZWE","Zimbabwe",34.0314816295098,174,"Low",0.498238873860639,136,0.178868506450835,7
