"ISO3","Area","UN Region","EBRD Region","Element","Item","Unit","Group","sector","agrifood","Year","value"
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1992,0.55
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1993,0.65
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1994,0.56
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1995,0.71
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1996,0.84
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1997,0.99
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1998,2.21
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",1999,1.03
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2000,0.8
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2001,0.6
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2002,0.47
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2003,2.49
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2004,2.3
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2005,2.17
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2006,2.05
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2007,1.96
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2008,1.82
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2009,1.65
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2010,1.64
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2011,1.53
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2012,1.42
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2013,1.3
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2014,1.12
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2015,1.09
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2016,1.04
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2017,1.06
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2018,1.05
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2019,1.08
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2020,1.06
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2021,1.06
"PLW","Palau","Micronesia",NA,"Emissions per capita","Farm gate","t/cap","Agrifood systems","no","yes",2022,1.06
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1992,2.03
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1993,2.47
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1994,2.19
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1995,2.84
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1996,3.46
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1997,4.2
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1998,9.68
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",1999,4.66
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2000,3.67
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2001,2.77
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2002,2.15
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2003,11.5
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2004,10.64
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2005,10.02
"PLW","Palau","Micronesia",NA,"Emissions per area of agricultural land","Farm gate","t/ha","Agrifood systems","no","yes",2006,9.38
